name1,name,value,name1_id,name_id,name1_reclamation,name_reclamation,age,sampling_yr,assembly
BM98B_A1,BM98B_B1,-0.838347854466698,2004,2004,biosolids,biosolids,14,2018,0
BM98B_A1,BM98B_B2,-0.289968468997192,2004,2004,biosolids,biosolids,14,2018,0
BM98B_A1,BM98B_C1,-2.16729712342286,2004,2004,biosolids,biosolids,14,2018,1
BM98B_A2,BM98B_A1,-1.24773216472996,2004,2004,biosolids,biosolids,14,2018,0
BM98B_A2,BM98B_A3,-1.25273006558742,2004,2004,biosolids,biosolids,14,2018,0
BM98B_A2,BM98B_B1,-1.99408495515084,2004,2004,biosolids,biosolids,14,2018,0
BM98B_A2,BM98B_B2,-1.40251565940527,2004,2004,biosolids,biosolids,14,2018,0
BM98B_A2,BM98B_C1,-1.24084023798689,2004,2004,biosolids,biosolids,14,2018,0
BM98B_A3,BM98B_A1,-1.16008965645672,2004,2004,biosolids,biosolids,14,2018,0
BM98B_A3,BM98B_A2,-1.25273006558742,2004,2004,biosolids,biosolids,14,2018,0
BM98B_A3,BM98B_B1,-1.59493697411636,2004,2004,biosolids,biosolids,14,2018,0
BM98B_A3,BM98B_B2,-0.815780759337484,2004,2004,biosolids,biosolids,14,2018,0
BM98B_A3,BM98B_C1,-2.29853855171416,2004,2004,biosolids,biosolids,14,2018,1
BM98B_B1,BM98B_A1,-0.838347854466698,2004,2004,biosolids,biosolids,14,2018,0
BM98B_B1,BM98B_A2,-1.99408495515084,2004,2004,biosolids,biosolids,14,2018,0
BM98B_B1,BM98B_A3,-1.59493697411636,2004,2004,biosolids,biosolids,14,2018,0
BM98B_B1,BM98B_B2,-1.40681026834017,2004,2004,biosolids,biosolids,14,2018,0
BM98B_B1,BM98B_C1,-1.71083813232252,2004,2004,biosolids,biosolids,14,2018,0
BM98B_B2,BM98B_A1,-0.289968468997192,2004,2004,biosolids,biosolids,14,2018,0
BM98B_B2,BM98B_A2,-1.40251565940527,2004,2004,biosolids,biosolids,14,2018,0
BM98B_B2,BM98B_A3,-0.815780759337484,2004,2004,biosolids,biosolids,14,2018,0
BM98B_B2,BM98B_B1,-1.40681026834017,2004,2004,biosolids,biosolids,14,2018,0
BM98B_B2,BM98B_C1,-2.05425671389951,2004,2004,biosolids,biosolids,14,2018,1
BM98B_C1,BM98B_A1,-2.16729712342286,2004,2004,biosolids,biosolids,14,2018,1
BM98B_C1,BM98B_A2,-1.24084023798689,2004,2004,biosolids,biosolids,14,2018,0
BM98B_C1,BM98B_A3,-2.29853855171416,2004,2004,biosolids,biosolids,14,2018,1
BM98B_C1,BM98B_B1,-1.71083813232252,2004,2004,biosolids,biosolids,14,2018,0
BM98B_C1,BM98B_B2,-2.05425671389951,2004,2004,biosolids,biosolids,14,2018,1
BMJ11A_A3,BMJ11A_B1,0.113120091900018,2012,2012,biosolids,biosolids,6,2018,0
BMJ11A_A3,BMJ11A_B2,3.9937821392084,2012,2012,biosolids,biosolids,6,2018,1
BMJ11A_A3,BMJ11A_C1,-0.334482787728139,2012,2012,biosolids,biosolids,6,2018,0
BMJ11A_A3,BMJ11A_C2,2.48524715724016,2012,2012,biosolids,biosolids,6,2018,1
BMJ11A_A3,BMJ11A_C3,1.44530826424322,2012,2012,biosolids,biosolids,6,2018,0
BMJ11A_B1,BMJ11A_A3,0.113120091900018,2012,2012,biosolids,biosolids,6,2018,0
BMJ11A_B1,BMJ11A_B2,1.2718375418465,2012,2012,biosolids,biosolids,6,2018,0
BMJ11A_B1,BMJ11A_C1,-1.70820925661054,2012,2012,biosolids,biosolids,6,2018,0
BMJ11A_B1,BMJ11A_C2,-0.994794618543162,2012,2012,biosolids,biosolids,6,2018,0
