	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_2783	k__Fungi	p__Ascomycota	c__Orbiliomycetes	o__Orbiliales	f__Orbiliaceae	NA	NA
ASV_2784	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	NA	NA	NA
ASV_2785	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Cladophialophora	NA
ASV_2786	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_2787	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Mytilinidales	NA	NA	NA
ASV_2788	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	NA	NA	NA
ASV_2789	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_2790	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Mycosphaerellales	f__Extremaceae	g__Extremus	NA
ASV_2791	k__Fungi	p__Basidiomycota	c__Cystobasidiomycetes	NA	NA	NA	NA
ASV_2792	k__Fungi	p__Chytridiomycota	NA	NA	NA	NA	NA
ASV_2793	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiales_fam_Incertae_sedis	g__Chalara	NA
ASV_2794	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Dictyosporiaceae	NA	NA
ASV_2795	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Myrmecridiales	f__Myrmecridiaceae	g__Myrmecridium	NA
ASV_2796	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Microbotryomycetes_ord_Incertae_sedis	f__Chrysozymaceae	g__Hamamotoa	s__lignophila
ASV_2797	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Filobasidiales	f__Piskurozymaceae	g__Solicoccozyma	s__aeria
ASV_2798	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Verrucariales	f__Verrucariaceae	g__Verrucaria	NA
ASV_2799	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Sorocybe	NA
ASV_2800	k__Fungi	p__Chytridiomycota	c__Spizellomycetes	o__Spizellomycetales	f__Spizellomycetaceae	g__Spizellomyces	s__lactosolyticus
ASV_2801	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Myxotrichaceae	g__Oidiodendron	s__chlamydosporicum
ASV_2802	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Annulatascales	f__Annulatascaceae	g__Dictyosporella	NA
ASV_2803	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Microthyriales	NA	NA	NA
ASV_2804	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Cosmospora	s__viridescens
ASV_2805	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Neosorocybe	s__pini
ASV_2806	k__Fungi	p__Basidiomycota	c__Pucciniomycetes	o__Platygloeales	f__Eocronartiaceae	g__Eocronartium	NA
ASV_2807	k__Fungi	p__Chytridiomycota	c__Spizellomycetes	o__Spizellomycetales	NA	NA	NA
ASV_2808	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Podosporaceae	g__Podospora	s__intestinacea
ASV_2809	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Hyaloscyphaceae	NA	NA
ASV_2810	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Sebacinales	f__Serendipitaceae	g__Serendipita	NA
ASV_2811	k__Fungi	p__Chytridiomycota	NA	NA	NA	NA	NA
ASV_2812	k__Fungi	NA	NA	NA	NA	NA	NA
